ID,ESN,MTH,DAY,HR_GMT,MIN,YEARDAY,LON,LAT,DEPTH,TEMP,YEAR
228400692,3362619,8,21,10,8,233.41666666666666,-69.218103,40.077035,0.1,nan,2022
228400692,3362619,8,21,10,40,233.41666666666666,-69.21394,40.077218,0.1,nan,2022
228400692,3362619,8,21,10,40,233.41666666666666,-69.21394,40.077218,0.1,nan,2022
228400692,3362619,8,21,11,8,233.45833333333334,-69.210614,40.074621,0.1,nan,2022
228400692,3362619,8,21,11,8,233.45833333333334,-69.210614,40.074621,0.1,nan,2022
228400692,3362619,8,21,11,53,233.45833333333334,-69.204734,40.069536,0.1,nan,2022
228400692,3362619,8,21,11,53,233.45833333333334,-69.204734,40.069536,0.1,nan,2022
228400692,3362619,8,21,12,26,233.5,-69.201773,40.068527,0.1,nan,2022
228400692,3362619,8,21,12,26,233.5,-69.201773,40.068527,0.1,nan,2022
228400692,3362619,8,21,12,53,233.5,-69.19937,40.068753,0.1,nan,2022
228400692,3362619,8,21,12,53,233.5,-69.19937,40.068753,0.1,nan,2022
228400692,3362619,8,21,13,34,233.54166666666666,-69.195937,40.065244,0.1,nan,2022
228400692,3362619,8,21,13,34,233.54166666666666,-69.195937,40.065244,0.1,nan,2022
228400692,3362619,8,21,14,3,233.58333333333334,-69.194542,40.063657,0.1,nan,2022
228400692,3362619,8,21,14,3,233.58333333333334,-69.194542,40.063657,0.1,nan,2022
228400692,3362619,8,21,14,33,233.58333333333334,-69.19289,40.0612,0.1,nan,2022
228400692,3362619,8,21,14,33,233.58333333333334,-69.19289,40.0612,0.1,nan,2022
228400692,3362619,8,21,15,8,233.625,-69.191795,40.056361,0.1,nan,2022
228400692,3362619,8,21,15,8,233.625,-69.191795,40.056361,0.1,nan,2022
228400692,3362619,8,21,15,35,233.625,-69.192353,40.052799,0.1,nan,2022
228400692,3362619,8,21,15,35,233.625,-69.192353,40.052799,0.1,nan,2022
228400692,3362619,8,21,16,19,233.66666666666666,-69.193362,40.047928,0.1,nan,2022
228400692,3362619,8,21,16,19,233.66666666666666,-69.193362,40.047928,0.1,nan,2022
228400692,3362619,8,21,16,49,233.66666666666666,-69.19613,40.044162,0.1,nan,2022
228400692,3362619,8,21,16,49,233.66666666666666,-69.19613,40.044162,0.1,nan,2022
228400692,3362619,8,21,17,23,233.70833333333334,-69.201773,40.040557,0.1,nan,2022
228400692,3362619,8,21,17,23,233.70833333333334,-69.201773,40.040557,0.1,nan,2022
228400692,3362619,8,21,17,49,233.70833333333334,-69.204692,40.038369,0.1,nan,2022
228400692,3362619,8,21,17,49,233.70833333333334,-69.204692,40.038369,0.1,nan,2022
228400692,3362619,8,21,18,18,233.75,-69.209498,40.038015,0.1,nan,2022
228400692,3362619,8,21,18,18,233.75,-69.209498,40.038015,0.1,nan,2022
228400692,3362619,8,21,18,56,233.75,-69.216043,40.039002,0.1,nan,2022
228400692,3362619,8,21,18,56,233.75,-69.216043,40.039002,0.1,nan,2022
228400692,3362619,8,21,19,28,233.79166666666666,-69.219991,40.039227,0.1,nan,2022
228400692,3362619,8,21,19,28,233.79166666666666,-69.219991,40.039227,0.1,nan,2022
228400692,3362619,8,21,20,4,233.83333333333334,-69.221965,40.040085,0.1,nan,2022
228400692,3362619,8,21,20,4,233.83333333333334,-69.221965,40.040085,0.1,nan,2022
228400692,3362619,8,21,20,33,233.83333333333334,-69.221901,40.041223,0.1,nan,2022
228400692,3362619,8,21,20,33,233.83333333333334,-69.221901,40.041223,0.1,nan,2022
228400692,3362619,8,21,21,4,233.875,-69.222222,40.042886,0.1,nan,2022
228400692,3362619,8,21,21,4,233.875,-69.222222,40.042886,0.1,nan,2022
228400692,3362619,8,21,21,48,233.875,-69.222222,40.044012,0.1,nan,2022
228400692,3362619,8,21,21,48,233.875,-69.222222,40.044012,0.1,nan,2022
228400692,3362619,8,21,22,19,233.91666666666666,-69.220441,40.043207,0.1,nan,2022
228400692,3362619,8,21,22,19,233.91666666666666,-69.220441,40.043207,0.1,nan,2022
228400692,3362619,8,21,22,54,233.91666666666666,-69.218403,40.042371,0.1,nan,2022
228400692,3362619,8,21,22,54,233.91666666666666,-69.218403,40.042371,0.1,nan,2022
228400692,3362619,8,21,23,21,233.95833333333334,-69.216386,40.04163,0.1,nan,2022
228400692,3362619,8,21,23,21,233.95833333333334,-69.216386,40.04163,0.1,nan,2022
228400692,3362619,8,21,23,58,233.95833333333334,-69.212781,40.037532,0.1,nan,2022
228400692,3362619,8,21,23,58,233.95833333333334,-69.212781,40.037532,0.1,nan,2022
228400692,3362619,8,22,0,34,234.0,-69.210421,40.03235,0.1,nan,2022
228400692,3362619,8,22,0,34,234.0,-69.210421,40.03235,0.1,nan,2022
228400692,3362619,8,22,1,18,234.04166666666666,-69.208575,40.025119,0.1,nan,2022
228400692,3362619,8,22,1,18,234.04166666666666,-69.208575,40.025119,0.1,nan,2022
228400692,3362619,8,22,1,48,234.04166666666666,-69.207567,40.019743,0.1,nan,2022
228400692,3362619,8,22,1,48,234.04166666666666,-69.207567,40.019743,0.1,nan,2022
228400692,3362619,8,22,2,23,234.08333333333334,-69.209133,40.013338,0.1,nan,2022
228400692,3362619,8,22,2,23,234.08333333333334,-69.209133,40.013338,0.1,nan,2022
228400692,3362619,8,22,2,53,234.08333333333334,-69.213339,40.009819,0.1,nan,2022
228400692,3362619,8,22,2,53,234.08333333333334,-69.213339,40.009819,0.1,nan,2022
228400692,3362619,8,22,3,21,234.125,-69.217802,40.007212,0.1,nan,2022
228400692,3362619,8,22,3,21,234.125,-69.217802,40.007212,0.1,nan,2022
